run#	day	points nbr	morning	evening forseen	evening actual
27	3	45	06:24	17:52	17:48                                                                                                                                                                                                                                       
27	4	41	06:22	17:53	17:41                                                                                                                                                                                                                                       
27	5	42	06:13	17:56	17:49                                                                                                                                                                                                                                       
27	6	33	06:15	17:50	17:43                                                                                                                                                                                                                                       
27	7	41	06:23	17:54	17:48                                                                                                                                                                                                                                       
28	1	46	06:21	17:52	17:51                                                                                                                                                                                                                                       
28	2	45	06:12	17:49	17:48                                                                                                                                                                                                                                       
28	3	45	06:22	17:55	17:54                                                                                                                                                                                                                                       
28	4	45	06:16	17:49	17:46                                                                                                                                                                                                                                       
28	5	43	06:19	17:53	17:45                                                                                                                                                                                                                                       
28	6	42	06:20	17:48	17:23                                                                                                                                                                                                                                       
28	7	43	06:14	17:52	17:39                                                                                                                                                                                                                                       
29	1	46	06:19	17:53	17:49                                                                                                                                                                                                                                       
29	2	46	06:16	17:51	17:46                                                                                                                                                                                                                                       
29	3	45	06:21	17:50	17:36                                                                                                                                                                                                                                       
29	4	46	06:19	17:51	17:49                                                                                                                                                                                                                                       
29	5	46	06:17	17:52	17:47                                                                                                                                                                                                                                       
29	6	46	06:16	17:51	17:46                                                                                                                                                                                                                                       
29	7	44	06:16	17:51	17:36                                                                                                                                                                                                                                       
30	1	46	06:12	17:53	17:42                                                                                                                                                                                                                                       
30	2	39	06:19	17:49	17:44                                                                                                                                                                                                                                       
30	3	46	06:21	17:55	17:52                                                                                                                                                                                                                                       
30	4	42	06:14	17:52	17:44                                                                                                                                                                                                                                       
30	5	45	06:16	17:53	17:50                                                                                                                                                                                                                                       
30	6	44	06:20	17:52	17:44                                                                                                                                                                                                                                       
30	7	46	06:16	17:53	17:46                                                                                                                                                                                                                                       
31	1	43	06:16	17:51	17:50                                                                                                                                                                                                                                       
31	2	45	06:15	17:48	17:44                                                                                                                                                                                                                                       
31	3	42	06:22	17:50	17:42                                                                                                                                                                                                                                       
31	4	45	06:15	17:54	17:53                                                                                                                                                                                                                                       
31	5	46	06:14	17:51	17:44                                                                                                                                                                                                                                       
31	6	39	06:19	17:53	17:47                                                                                                                                                                                                                                       
31	7	45	06:18	17:52	17:45                                                                                                                                                                                                                                       
32	1	46	06:19	17:50	17:49                                                                                                                                                                                                                                       
32	2	46	06:16	17:54	17:46                                                                                                                                                                                                                                       
32	3	46	06:20	17:51	17:50                                                                                                                                                                                                                                       
32	4	46	06:15	17:53	17:45                                                                                                                                                                                                                                       
32	5	46	06:13	17:52	17:43                                                                                                                                                                                                                                       
32	6	45	06:18	17:49	17:46                                                                                                                                                                                                                                       
32	7	46	06:20	17:54	17:50                                                                                                                                                                                                                                       
33	1	46	06:14	17:51	17:44                                                                                                                                                                                                                                       
33	2	46	06:19	17:55	17:49                                                                                                                                                                                                                                       
33	3	43	06:15	17:52	17:36                                                                                                                                                                                                                                       
33	4	45	06:15	17:52	17:43                                                                                                                                                                                                                                       
33	5	40	06:19	17:55	17:49                                                                                                                                                                                                                                       
33	6	45	06:20	17:49	17:47                                                                                                                                                                                                                                       
33	7	45	06:13	17:55	17:46                                                                                                                                                                                                                                       
34	1	46	06:10	17:52	17:40                                                                                                                                                                                                                                       
34	2	46	06:16	17:49	17:45                                                                                                                                                                                                                                       
34	3	43	06:21	17:53	17:39                                                                                                                                                                                                                                       
34	4	45	06:19	17:54	17:50                                                                                                                                                                                                                                       
34	5	45	06:18	17:49	17:33                                                                                                                                                                                                                                       
34	6	44	06:17	17:54	17:51                                                                                                                                                                                                                                       
34	7	43	06:16	17:50	17:36                                                                                                                                                                                                                                       
35	1	46	06:14	17:51	17:44                                                                                                                                                                                                                                       
35	2	46	06:20	17:53	17:50                                                                                                                                                                                                                                       
35	3	44	06:15	17:48	17:45                                                                                                                                                                                                                                       
35	4	46	06:13	17:54	17:43                                                                                                                                                                                                                                       
35	5	46	06:14	17:54	17:46                                                                                                                                                                                                                                       
35	6	44	06:16	17:47	17:36                                                                                                                                                                                                                                       
35	7	44	06:17	17:51	17:43                                                                                                                                                                                                                                       
36	1	46	06:19	17:55	17:49                                                                                                                                                                                                                                       
36	2	45	06:16	17:53	17:51                                                                                                                                                                                                                                       
36	3	46	06:13	17:49	17:43                                                                                                                                                                                                                                       
36	4	46	06:17	17:52	17:47                                                                                                                                                                                                                                       
36	5	46	06:12	17:51	17:42                                                                                                                                                                                                                                       
36	6	46	06:21	17:53	17:51                                                                                                                                                                                                                                       
36	7	46	06:20	17:51	17:50                                                                                                                                                                                                                                       
37	1	39	06:16	17:49	17:47                                                                                                                                                                                                                                       
37	2	39	06:20	17:54	18:02                                                                                                                                                                                                                                       
37	3	44	06:17	17:55	17:47                                                                                                                                                                                                                                       
37	4	44	06:19	17:55	17:43                                                                                                                                                                                                                                       
37	5	45	06:17	17:55	17:45                                                                                                                                                                                                                                       
37	6	46	06:15	17:54	17:45                                                                                                                                                                                                                                       
37	7	37	06:15	17:52	17:40                                                                                                                                                                                                                                       
38	1	45	06:16	17:53	17:46                                                                                                                                                                                                                                       
38	2	45	06:23	17:56	17:48                                                                                                                                                                                                                                       
38	3	46	06:14	17:54	17:49                                                                                                                                                                                                                                       
38	4	46	06:17	17:50	17:47                                                                                                                                                                                                                                       
38	5	46	06:13	17:54	17:43                                                                                                                                                                                                                                       
38	6	46	06:20	17:53	17:50                                                                                                                                                                                                                                       
38	7	46	06:16	17:53	17:46                                                                                                                                                                                                                                       
39	1	46	06:16	17:55	17:46                                                                                                                                                                                                                                       
39	2	46	06:16	17:51	17:46                                                                                                                                                                                                                                       
39	3	46	06:15	17:55	17:45                                                                                                                                                                                                                                       
39	4	46	06:20	17:54	17:50                                                                                                                                                                                                                                       
39	5	46	06:19	17:53	17:49                                                                                                                                                                                                                                       
39	6	45	06:16	17:55	17:51                                                                                                                                                                                                                                       
39	7	45	06:17	17:52	17:42                                                                                                                                                                                                                                       
